Week,Date,Topic,Readings,Notes,Lecture,Slides,Worksheets,Handouts
Week 1,02-Feb-23,Week 1,"<a href=""/description/01""><i class=""fa-solid fa-book-open-reader fa-lg""></i></a>","<a href=""/notes/01""><i class=""fa-solid fa-note-sticky fa-lg""></i></a>","<a href=""/canvas/01""><i class=""fa-solid fa-person-chalkboard fa-lg""></i></a>","<a href=""/slides/01""><i class=""fa-solid fa-display fa-lg""></i></a>","<a href=""/worksheets/01""><i class=""fa-solid fa-laptop-code fa-lg""></i></a>","<a href=""/handouts/01""><i class=""fa-solid fa-sheet-plastic fa-lg""></i></i></a>"
Week 2,03-Feb-23,Week 2,"<a href=""/description/02""><i class=""fa-solid fa-book-open-reader fa-lg""></i></a>","<a href=""/notes/02""><i class=""fa-solid fa-note-sticky fa-lg""></i></a>","<a href=""/canvas/02""><i class=""fa-solid fa-person-chalkboard fa-lg""></i></a>","<a href=""/slides/02""><i class=""fa-solid fa-display fa-lg""></i></a>","<a href=""/worksheets/02""><i class=""fa-solid fa-laptop-code fa-lg""></i></a>","<a href=""/handouts/02""><i class=""fa-solid fa-sheet-plastic fa-lg""></i></i></a>"
Week 3,04-Feb-23,Week 3,"<a href=""/description/03""><i class=""fa-solid fa-book-open-reader fa-lg""></i></a>","<a href=""/notes/03""><i class=""fa-solid fa-note-sticky fa-lg""></i></a>","<a href=""/canvas/03""><i class=""fa-solid fa-person-chalkboard fa-lg""></i></a>","<a href=""/slides/03""><i class=""fa-solid fa-display fa-lg""></i></a>","<a href=""/worksheets/03""><i class=""fa-solid fa-laptop-code fa-lg""></i></a>","<a href=""/handouts/03""><i class=""fa-solid fa-sheet-plastic fa-lg""></i></i></a>"
Week 4,05-Feb-23,Week 4,"<a href=""/description/04""><i class=""fa-solid fa-book-open-reader fa-lg""></i></a>","<a href=""/notes/04""><i class=""fa-solid fa-note-sticky fa-lg""></i></a>","<a href=""/canvas/04""><i class=""fa-solid fa-person-chalkboard fa-lg""></i></a>","<a href=""/slides/04""><i class=""fa-solid fa-display fa-lg""></i></a>","<a href=""/worksheets/04""><i class=""fa-solid fa-laptop-code fa-lg""></i></a>","<a href=""/handouts/04""><i class=""fa-solid fa-sheet-plastic fa-lg""></i></i></a>"
Week 5,06-Feb-23,Week 5,"<a href=""/description/05""><i class=""fa-solid fa-book-open-reader fa-lg""></i></a>","<a href=""/notes/05""><i class=""fa-solid fa-note-sticky fa-lg""></i></a>","<a href=""/canvas/05""><i class=""fa-solid fa-person-chalkboard fa-lg""></i></a>","<a href=""/slides/05""><i class=""fa-solid fa-display fa-lg""></i></a>","<a href=""/worksheets/05""><i class=""fa-solid fa-laptop-code fa-lg""></i></a>","<a href=""/handouts/05""><i class=""fa-solid fa-sheet-plastic fa-lg""></i></i></a>"
Week 6,07-Feb-23,Week 6,"<a href=""/description/06""><i class=""fa-solid fa-book-open-reader fa-lg""></i></a>","<a href=""/notes/06""><i class=""fa-solid fa-note-sticky fa-lg""></i></a>","<a href=""/canvas/06""><i class=""fa-solid fa-person-chalkboard fa-lg""></i></a>","<a href=""/slides/06""><i class=""fa-solid fa-display fa-lg""></i></a>","<a href=""/worksheets/06""><i class=""fa-solid fa-laptop-code fa-lg""></i></a>","<a href=""/handouts/06""><i class=""fa-solid fa-sheet-plastic fa-lg""></i></i></a>"
Week 7,08-Feb-23,Week 7,"<a href=""/description/07""><i class=""fa-solid fa-book-open-reader fa-lg""></i></a>","<a href=""/notes/07""><i class=""fa-solid fa-note-sticky fa-lg""></i></a>","<a href=""/canvas/07""><i class=""fa-solid fa-person-chalkboard fa-lg""></i></a>","<a href=""/slides/07""><i class=""fa-solid fa-display fa-lg""></i></a>","<a href=""/worksheets/07""><i class=""fa-solid fa-laptop-code fa-lg""></i></a>","<a href=""/handouts/07""><i class=""fa-solid fa-sheet-plastic fa-lg""></i></i></a>"
Week 8,09-Feb-23,Week 8,"<a href=""/description/08""><i class=""fa-solid fa-book-open-reader fa-lg""></i></a>","<a href=""/notes/08""><i class=""fa-solid fa-note-sticky fa-lg""></i></a>","<a href=""/canvas/08""><i class=""fa-solid fa-person-chalkboard fa-lg""></i></a>","<a href=""/slides/08""><i class=""fa-solid fa-display fa-lg""></i></a>","<a href=""/worksheets/08""><i class=""fa-solid fa-laptop-code fa-lg""></i></a>","<a href=""/handouts/08""><i class=""fa-solid fa-sheet-plastic fa-lg""></i></i></a>"
Week 9,10-Feb-23,Week 9,"<a href=""/description/09""><i class=""fa-solid fa-book-open-reader fa-lg""></i></a>","<a href=""/notes/09""><i class=""fa-solid fa-note-sticky fa-lg""></i></a>","<a href=""/canvas/09""><i class=""fa-solid fa-person-chalkboard fa-lg""></i></a>","<a href=""/slides/09""><i class=""fa-solid fa-display fa-lg""></i></a>","<a href=""/worksheets/09""><i class=""fa-solid fa-laptop-code fa-lg""></i></a>","<a href=""/handouts/09""><i class=""fa-solid fa-sheet-plastic fa-lg""></i></i></a>"
Week 10,11-Feb-23,Week 10,"<a href=""/description/10""><i class=""fa-solid fa-book-open-reader fa-lg""></i></a>","<a href=""/notes/10""><i class=""fa-solid fa-note-sticky fa-lg""></i></a>","<a href=""/canvas/10""><i class=""fa-solid fa-person-chalkboard fa-lg""></i></a>","<a href=""/slides/10""><i class=""fa-solid fa-display fa-lg""></i></a>","<a href=""/worksheets/10""><i class=""fa-solid fa-laptop-code fa-lg""></i></a>","<a href=""/handouts/10""><i class=""fa-solid fa-sheet-plastic fa-lg""></i></i></a>"
