"V1" "V2" "V3" "V4" "V5" "V6"
"1" "Family" "Father" "Mother" "Gender" "Height" "Kids"
"2" "1" "78.5" "67" "M" "73.2" "4"
"3" "1" "78.5" "67" "F" "69.2" "4"
"4" "1" "78.5" "67" "F" "69" "4"
"5" "1" "78.5" "67" "F" "69" "4"
"6" "2" "75.5" "66.5" "M" "73.5" "4"
"7" "2" "75.5" "66.5" "M" "72.5" "4"
"8" "2" "75.5" "66.5" "F" "65.5" "4"
"9" "2" "75.5" "66.5" "F" "65.5" "4"
"10" "3" "75" "64" "M" "71" "2"
"11" "3" "75" "64" "F" "68" "2"
"12" "4" "75" "64" "M" "70.5" "5"
"13" "4" "75" "64" "M" "68.5" "5"
"14" "4" "75" "64" "F" "67" "5"
"15" "4" "75" "64" "F" "64.5" "5"
"16" "4" "75" "64" "F" "63" "5"
"17" "5" "75" "58.5" "M" "72" "6"
"18" "5" "75" "58.5" "M" "69" "6"
"19" "5" "75" "58.5" "M" "68" "6"
"20" "5" "75" "58.5" "F" "66.5" "6"
"21" "5" "75" "58.5" "F" "62.5" "6"
"22" "5" "75" "58.5" "F" "62.5" "6"
"23" "6" "74" "68" "F" "69.5" "1"
"24" "7" "74" "68" "M" "76.5" "6"
"25" "7" "74" "68" "M" "74" "6"
"26" "7" "74" "68" "M" "73" "6"
"27" "7" "74" "68" "M" "73" "6"
"28" "7" "74" "68" "F" "70.5" "6"
"29" "7" "74" "68" "F" "64" "6"
"30" "8" "74" "66.5" "F" "70.5" "3"
"31" "8" "74" "66.5" "F" "68" "3"
"32" "8" "74" "66.5" "F" "66" "3"
"33" "9" "74.5" "66" "F" "66" "1"
"34" "10" "74" "65.5" "F" "65.5" "1"
"35" "11" "74" "62" "M" "74" "8"
"36" "11" "74" "62" "M" "70" "8"
"37" "11" "74" "62" "F" "68" "8"
"38" "11" "74" "62" "F" "67" "8"
"39" "11" "74" "62" "F" "67" "8"
"40" "11" "74" "62" "F" "66" "8"
"41" "11" "74" "62" "F" "63.5" "8"
"42" "11" "74" "62" "F" "63" "8"
"43" "12" "74" "61" "F" "65" "1"
"44" "14" "73" "67" "M" "68" "2"
